Nose_x,Nose_y,Nose_c,LEye_x,LEye_y,LEye_c,REye_x,REye_y,REye_c,LEar_x,LEar_y,LEar_c,REar_x,REar_y,REar_c,LShoulder_x,LShoulder_y,LShoulder_c,RShoulder_x,RShoulder_y,RShoulder_c,LElbow_x,LElbow_y,LElbow_c,RElbow_x,RElbow_y,RElbow_c,LWrist_x,LWrist_y,LWrist_c,RWrist_x,RWrist_y,RWrist_c,LHip_x,LHip_y,LHip_c,RHip_x,RHip_y,RHip_c,LKnee_x,LKnee_y,LKnee_c,RKnee_x,RKnee_y,RKnee_c,LAnkle_x,LAnkle_y,LAnkle_c,RAnkle_x,RAnkle_y,RAnkle_c
314.366,43.0005,0.883493,328.41,31.2167,0.915785,309.595,33.5001,0.924578,340.279,45.2407,0.892487,295.419,45.2527,0.92453,356.787,104.29,0.89893,274.322,104.311,0.926688,356.793,160.943,0.866707,276.654,161.011,0.864675,344.902,212.855,0.875344,309.523,212.807,0.891948,342.595,234.118,0.784629,290.695,234.097,0.817229,344.926,328.567,0.863391,276.648,328.516,0.873824,345.021,415.747,0.787176,274.131,411.088,0.873677
314.352,43.0139,0.885653,328.401,31.2292,0.911909,309.585,33.5221,0.91907,340.277,45.2538,0.907507,295.414,45.2701,0.921377,356.802,104.287,0.8958,274.323,104.312,0.927906,356.771,160.953,0.863727,276.661,161.043,0.859228,342.669,212.879,0.877237,309.522,212.817,0.896308,342.591,234.131,0.784909,290.677,234.111,0.817508,344.948,330.771,0.870793,276.612,328.555,0.878766,345.027,415.778,0.789568,274.118,413.391,0.878593
314.352,43.0133,0.883981,328.394,31.2308,0.907702,309.59,33.5245,0.918663,340.276,45.2441,0.907278,295.424,45.267,0.921209,356.805,104.285,0.896419,274.321,104.307,0.924215,356.761,160.941,0.863122,276.668,161.038,0.854846,342.66,212.871,0.87366,309.527,212.822,0.896038,342.641,234.164,0.789085,290.692,234.122,0.819606,344.951,330.796,0.868949,276.623,328.557,0.879681,345.004,415.791,0.785464,274.129,411.079,0.873086
314.352,43.0062,0.883357,328.395,31.2258,0.909052,309.589,33.521,0.919122,340.269,45.246,0.906013,295.422,45.2721,0.923626,356.82,104.285,0.892349,274.299,104.305,0.928283,356.762,160.967,0.862422,276.652,161.03,0.859231,342.641,212.871,0.868107,309.525,212.841,0.901731,342.591,234.135,0.780003,290.668,234.092,0.81935,344.949,330.792,0.870408,276.594,328.55,0.883451,345.017,415.82,0.790057,274.11,413.404,0.871506
314.347,45.2028,0.885544,328.395,31.2454,0.903845,309.586,33.5372,0.917456,340.281,45.2484,0.908403,295.42,45.2668,0.918851,356.813,104.282,0.895175,274.302,104.328,0.92888,356.769,160.942,0.865152,276.66,161.031,0.858468,342.62,212.854,0.867797,309.526,212.825,0.898258,342.626,234.188,0.786638,290.678,234.167,0.816183,344.938,330.817,0.864282,276.606,330.784,0.878046,345.032,415.781,0.784079,274.115,413.388,0.874469
314.345,45.1968,0.883127,328.388,31.2452,0.90152,309.589,33.5344,0.917466,340.263,45.2539,0.907953,295.422,45.2668,0.921389,356.837,104.286,0.892263,274.286,104.339,0.930159,354.488,160.968,0.859539,276.654,161.043,0.850309,342.603,212.876,0.867181,309.509,212.846,0.900479,342.584,234.185,0.784257,290.652,236.387,0.809847,344.958,330.825,0.870201,276.583,330.785,0.887732,345.03,418.132,0.789543,274.109,413.438,0.869685
314.349,43.0174,0.880695,328.391,31.2393,0.903787,309.587,33.5318,0.914756,340.263,45.2489,0.911322,295.415,45.2774,0.931147,356.803,104.3,0.890564,274.282,104.352,0.932653,354.488,160.964,0.859686,276.654,161.048,0.852538,342.575,212.876,0.863914,307.266,212.806,0.889892,340.327,234.189,0.782743,290.651,234.178,0.808961,344.953,330.835,0.865039,276.602,330.779,0.886653,345.029,418.113,0.779856,274.138,411.129,0.873347
314.342,45.1986,0.883825,328.392,31.2408,0.903208,309.584,33.5241,0.919288,340.27,45.2347,0.899348,295.42,45.2547,0.916234,356.825,104.313,0.890497,274.289,104.341,0.932235,354.466,160.974,0.858058,276.652,161.054,0.846157,342.596,212.876,0.868173,307.262,212.812,0.892268,340.298,234.179,0.784072,290.633,236.39,0.810881,344.961,330.805,0.868253,276.545,330.785,0.892747,345.017,415.817,0.784334,271.955,413.436,0.875725
314.334,45.2132,0.883813,328.377,31.2552,0.892887,309.578,33.5398,0.911974,340.264,45.231,0.905457,295.406,45.2488,0.918852,356.808,104.297,0.894524,274.305,104.298,0.931035,354.463,160.989,0.855415,276.637,161.027,0.855574,342.612,212.853,0.858618,307.226,212.777,0.89227,340.273,236.384,0.781555,290.605,236.411,0.800199,344.981,330.814,0.874018,276.546,330.849,0.889969,345.005,415.81,0.778202,271.937,413.447,0.867142
314.32,45.2044,0.883874,328.368,31.247,0.893433,309.568,33.5235,0.913374,340.265,45.2285,0.905919,295.405,45.2355,0.907467,356.809,104.31,0.893698,274.29,104.304,0.934491,354.445,160.99,0.85989,276.634,161.025,0.858437,342.606,212.851,0.854974,307.22,212.786,0.894694,340.285,234.183,0.786957,290.612,236.403,0.806741,344.949,330.805,0.866787,276.548,330.818,0.896379,345.005,415.805,0.784461,274.115,413.41,0.875628
